YearStart,LocationDesc,Class,Data_Value,Sample_Size,StratificationCategory1,Stratification1
2023,Virginia,Physical Activity,63.5,6111.0,Total,Total
2019,Vermont,Obesity / Weight Status,26.7,113.0,Race/Ethnicity,2 or more races
2023,Arkansas,Physical Activity,20.2,266.0,Income,"Less than $15,000"
2023,California,Obesity / Weight Status,19.4,4873.0,Education,College graduate
2022,Washington,Obesity / Weight Status,34.4,279.0,Race/Ethnicity,American Indian/Alaska Native
2022,Florida,Obesity / Weight Status,32.9,3512.0,Education,Some college or technical school
2023,New York,Physical Activity,39.4,92.0,Race/Ethnicity,American Indian/Alaska Native
2023,Vermont,Physical Activity,65.6,920.0,Age (years),45 - 54
2023,Maryland,Obesity / Weight Status,34.9,1918.0,Income,"$50,000 - $74,999"
2020,Arizona,Obesity / Weight Status,35.3,1742.0,Age (years),55 - 64
2019,Tennessee,Physical Activity,36.5,1241.0,Age (years),55 - 64
2023,Hawaii,Obesity / Weight Status,27.6,338.0,Income,"Less than $15,000"
2023,Utah,Obesity / Weight Status,26.0,911.0,Age (years),18 - 24
2019,Georgia,Physical Activity,48.8,948.0,Age (years),45 - 54
2022,Washington,Obesity / Weight Status,21.1,1103.0,Age (years),18 - 24
2023,National,Obesity / Weight Status,34.9,286568.0,Race/Ethnicity,Non-Hispanic White
2020,West Virginia,Physical Activity,24.7,1553.0,Education,Some college or technical school
2023,Montana,Physical Activity,30.9,3044.0,Gender,Female
2023,Florida,Obesity / Weight Status,29.7,3239.0,Education,High school graduate
2023,Alaska,Physical Activity,63.4,691.0,Age (years),45 - 54
2020,Ohio,Obesity / Weight Status,35.1,4441.0,Education,High school graduate
2023,Alabama,Obesity / Weight Status,40.3,541.0,Income,"$50,000 - $74,999"
2020,Vermont,Obesity / Weight Status,26.8,105.0,Race/Ethnicity,2 or more races
2018,National,Physical Activity,25.3,49012.0,Income,"$35,000 - $49,999"
2023,North Dakota,Physical Activity,39.3,147.0,Income,"Less than $15,000"
2023,Delaware,Physical Activity,59.1,432.0,Age (years),45 - 54
2021,North Dakota,Fruits and Vegetables,38.3,361.0,Income,"$15,000 - $24,999"
2022,National,Obesity / Weight Status,35.3,156576.0,Income,Data not reported
2019,Maryland,Obesity / Weight Status,23.9,596.0,Age (years),18 - 24
2019,Florida,Physical Activity,25.5,1860.0,Age (years),45 - 54
2018,Ohio,Obesity / Weight Status,32.2,811.0,Education,Less than high school
2022,Texas,Physical Activity,16.2,250.0,Race/Ethnicity,2 or more races
2019,North Dakota,Obesity / Weight Status,36.8,725.0,Income,"$35,000 - $49,999"
2021,Louisiana,Physical Activity,27.5,86.0,Race/Ethnicity,2 or more races
2021,Maine,Obesity / Weight Status,32.2,5899.0,Gender,Female
2021,District of Columbia,Obesity / Weight Status,28.6,115.0,Education,Less than high school
2023,District of Columbia,Physical Activity,31.4,112.0,Income,"Less than $15,000"
2019,Pennsylvania,Obesity / Weight Status,28.5,770.0,Income,Data not reported
2023,Texas,Physical Activity,85.3,73.0,Race/Ethnicity,American Indian/Alaska Native
2023,Texas,Physical Activity,34.1,4108.0,Gender,Male
2021,Nevada,Obesity / Weight Status,28.2,287.0,Income,"$75,000 or greater"
2023,Missouri,Physical Activity,23.4,4615.0,Race/Ethnicity,Non-Hispanic White
2023,Virginia,Physical Activity,63.1,134.0,Race/Ethnicity,2 or more races
2021,Vermont,Physical Activity,33.6,456.0,Income,"$15,000 - $24,999"
2021,Nevada,Fruits and Vegetables,25.4,431.0,Age (years),55 - 64
2020,Pennsylvania,Physical Activity,23.1,792.0,Age (years),35 - 44
2021,District of Columbia,Obesity / Weight Status,24.7,79.0,Race/Ethnicity,2 or more races
2023,Alabama,Physical Activity,27.5,1697.0,Age (years),65 or older
2019,Pennsylvania,Physical Activity,34.3,774.0,Age (years),35 - 44
2018,Mississippi,Physical Activity,35.4,1100.0,Income,Data not reported
2019,Puerto Rico,Physical Activity,50.6,5916.0,Total,Total
2023,North Carolina,Obesity / Weight Status,31.4,465.0,Age (years),25 - 34
2023,Montana,Physical Activity,46.4,2940.0,Gender,Female
2021,Kansas,Physical Activity,16.9,2162.0,Income,"$75,000 or greater"
2019,Nebraska,Fruits and Vegetables,40.8,2141.0,Income,"$35,000 - $49,999"
2019,New York,Physical Activity,37.2,860.0,Income,"Less than $15,000"
2019,Washington,Physical Activity,40.3,4088.0,Income,"$75,000 or greater"
2019,Missouri,Fruits and Vegetables,19.9,138.0,Race/Ethnicity,Hispanic
2023,Utah,Obesity / Weight Status,14.4,126.0,Race/Ethnicity,Asian
2019,Tennessee,Obesity / Weight Status,40.4,704.0,Income,"$50,000 - $74,999"
2020,Arizona,Obesity / Weight Status,39.2,3477.0,Age (years),65 or older
2023,Vermont,Physical Activity,49.1,52.0,Race/Ethnicity,Non-Hispanic Black
2018,Delaware,Physical Activity,41.3,399.0,Income,"Less than $15,000"
2019,Vermont,Physical Activity,45.0,2607.0,Gender,Male
2023,Alabama,Physical Activity,34.5,401.0,Income,"$25,000 - $34,999"
2023,Missouri,Obesity / Weight Status,36.8,393.0,Income,"Less than $15,000"
2021,Illinois,Obesity / Weight Status,38.6,130.0,Race/Ethnicity,Asian
2021,Kentucky,Fruits and Vegetables,43.4,2620.0,Gender,Female
2023,New Mexico,Obesity / Weight Status,31.4,369.0,Income,"$25,000 - $34,999"
2019,Mississippi,Obesity / Weight Status,42.8,589.0,Income,"Less than $15,000"
2018,Arkansas,Physical Activity,41.1,2661.0,Age (years),65 or older
2023,Virginia,Physical Activity,42.9,689.0,Income,"$35,000 - $49,999"
2023,Missouri,Physical Activity,16.3,547.0,Age (years),18 - 24
2019,Maryland,Physical Activity,54.7,6718.0,Gender,Male
2023,Utah,Physical Activity,44.4,439.0,Education,Less than high school
2023,Maine,Physical Activity,41.4,238.0,Race/Ethnicity,2 or more races
2018,Oklahoma,Obesity / Weight Status,29.3,688.0,Income,Data not reported
2020,Louisiana,Physical Activity,48.2,428.0,Income,"Less than $15,000"
2019,Tennessee,Obesity / Weight Status,33.1,1502.0,Education,Some college or technical school
2019,Utah,Physical Activity,45.3,2956.0,Age (years),65 or older
2021,West Virginia,Obesity / Weight Status,37.2,2903.0,Gender,Male
2020,New Mexico,Obesity / Weight Status,31.1,3585.0,Gender,Female
2020,Arkansas,Physical Activity,39.0,2570.0,Age (years),65 or older
2019,Nevada,Fruits and Vegetables,29.2,199.0,Age (years),18 - 24
2023,Texas,Physical Activity,47.8,4685.0,Gender,Male
2022,Ohio,Physical Activity,30.0,5012.0,Education,High school graduate
2023,Wisconsin,Physical Activity,42.1,5876.0,Gender,Male
2022,Indiana,Obesity / Weight Status,40.7,440.0,Race/Ethnicity,Hispanic
2021,North Dakota,Fruits and Vegetables,20.0,849.0,Income,"$50,000 - $74,999"
2023,Washington,Obesity / Weight Status,30.4,11887.0,Gender,Male
2020,Alabama,Obesity / Weight Status,40.1,1390.0,Education,Some college or technical school
2023,North Carolina,Obesity / Weight Status,34.0,3722.0,Total,Total
2019,Vermont,Fruits and Vegetables,36.2,195.0,Education,Less than high school
2020,Delaware,Obesity / Weight Status,37.5,1022.0,Education,High school graduate
2023,New York,Obesity / Weight Status,13.7,746.0,Race/Ethnicity,Asian
2023,North Dakota,Physical Activity,30.7,171.0,Education,Less than high school
2019,Maine,Physical Activity,55.9,54.0,Race/Ethnicity,American Indian/Alaska Native
2023,Colorado,Physical Activity,48.1,4281.0,Gender,Male
2018,Nebraska,Obesity / Weight Status,39.4,6334.0,Gender,Male
2022,Guam,Physical Activity,42.0,143.0,Education,Less than high school
2021,Vermont,Physical Activity,17.8,6563.0,Total,Total
2020,Minnesota,Obesity / Weight Status,35.6,1068.0,Income,"$25,000 - $34,999"
2021,Missouri,Physical Activity,26.7,254.0,Race/Ethnicity,Hispanic
2020,Missouri,Obesity / Weight Status,29.4,1455.0,Income,Data not reported
2021,Arkansas,Fruits and Vegetables,31.4,448.0,Race/Ethnicity,Non-Hispanic Black
2021,Massachusetts,Fruits and Vegetables,18.7,1632.0,Education,Some college or technical school
2019,Oregon,Physical Activity,26.1,58.0,Race/Ethnicity,Non-Hispanic Black
2019,Minnesota,Physical Activity,28.4,58.0,Race/Ethnicity,Other
2021,Iowa,Physical Activity,34.1,966.0,Income,"$25,000 - $34,999"
2018,Colorado,Obesity / Weight Status,23.3,118.0,Race/Ethnicity,Asian
2022,New Mexico,Obesity / Weight Status,28.8,572.0,Income,"$35,000 - $49,999"
2023,West Virginia,Physical Activity,28.4,1284.0,Education,College graduate
2018,Nevada,Obesity / Weight Status,32.4,237.0,Age (years),18 - 24
2020,New Jersey,Obesity / Weight Status,35.4,833.0,Income,"$15,000 - $24,999"
2018,Florida,Obesity / Weight Status,16.6,762.0,Age (years),18 - 24
2021,Illinois,Obesity / Weight Status,35.0,299.0,Income,"$75,000 or greater"
2023,Arkansas,Physical Activity,37.5,704.0,Age (years),45 - 54
2019,Oklahoma,Obesity / Weight Status,45.2,296.0,Race/Ethnicity,Non-Hispanic Black
2019,North Carolina,Physical Activity,22.3,499.0,Income,"$15,000 - $24,999"
2021,Oklahoma,Physical Activity,36.5,532.0,Income,"$15,000 - $24,999"
2020,Vermont,Obesity / Weight Status,35.7,5856.0,Total,Total
2019,Maryland,Obesity / Weight Status,36.6,863.0,Education,Less than high school
2023,Texas,Physical Activity,45.1,950.0,Income,"$75,000 or greater"
2022,Tennessee,Obesity / Weight Status,44.1,495.0,Income,"$75,000 or greater"
2019,Tennessee,Physical Activity,34.3,1805.0,Education,High school graduate
2022,Puerto Rico,Obesity / Weight Status,36.5,1382.0,Education,Some college or technical school
2019,South Carolina,Obesity / Weight Status,25.0,400.0,Age (years),18 - 24
2021,California,Fruits and Vegetables,41.3,967.0,Age (years),25 - 34
2022,Florida,Physical Activity,25.6,1674.0,Age (years),45 - 54
2021,Delaware,Physical Activity,28.8,552.0,Race/Ethnicity,Non-Hispanic Black
2022,Mississippi,Physical Activity,26.8,1427.0,Income,Data not reported
2023,Texas,Physical Activity,9.6,78.0,Race/Ethnicity,American Indian/Alaska Native
2018,Kentucky,Obesity / Weight Status,31.9,8013.0,Total,Total
2021,Louisiana,Fruits and Vegetables,33.3,427.0,Income,"$15,000 - $24,999"
2020,Kentucky,Physical Activity,34.5,749.0,Income,Data not reported
2019,California,Physical Activity,54.3,5077.0,Gender,Female
2020,Texas,Obesity / Weight Status,39.7,4760.0,Gender,Male
2023,California,Physical Activity,43.9,9544.0,Total,Total
2018,North Dakota,Physical Activity,21.7,2924.0,Gender,Female
2019,West Virginia,Physical Activity,25.8,1315.0,Education,Some college or technical school
2019,Kansas,Physical Activity,35.5,111.0,Race/Ethnicity,American Indian/Alaska Native
2019,New Hampshire,Physical Activity,28.5,377.0,Age (years),25 - 34
2023,Illinois,Physical Activity,59.8,735.0,Age (years),35 - 44
2020,Colorado,Obesity / Weight Status,26.6,1290.0,Age (years),35 - 44
2022,Nebraska,Obesity / Weight Status,32.1,1916.0,Income,Data not reported
2018,Wisconsin,Obesity / Weight Status,36.5,1298.0,Education,Some college or technical school
2020,Nevada,Obesity / Weight Status,31.0,738.0,Education,Some college or technical school
2023,South Carolina,Physical Activity,45.2,430.0,Race/Ethnicity,Hispanic
2021,Guam,Obesity / Weight Status,30.2,235.0,Age (years),25 - 34
2021,New Mexico,Obesity / Weight Status,43.3,484.0,Income,"Less than $15,000"
2019,Tennessee,Obesity / Weight Status,35.0,552.0,Education,Less than high school
2019,Georgia,Physical Activity,42.7,448.0,Age (years),18 - 24
2022,Texas,Physical Activity,18.2,1788.0,Age (years),25 - 34
2020,New Mexico,Physical Activity,17.2,868.0,Income,"$50,000 - $74,999"
2021,New York,Obesity / Weight Status,34.4,13069.0,Education,College graduate
2023,Nebraska,Obesity / Weight Status,33.5,1950.0,Income,"$50,000 - $74,999"
2021,Missouri,Fruits and Vegetables,19.3,4028.0,Age (years),65 or older
2020,Iowa,Obesity / Weight Status,36.2,4325.0,Gender,Female
2023,Montana,Obesity / Weight Status,35.0,988.0,Income,"$35,000 - $49,999"
2023,Idaho,Physical Activity,42.8,1611.0,Education,High school graduate
2018,Texas,Physical Activity,22.5,6831.0,Race/Ethnicity,Non-Hispanic White
2021,Nevada,Fruits and Vegetables,26.7,206.0,Income,"$15,000 - $24,999"
2020,Idaho,Obesity / Weight Status,31.8,348.0,Race/Ethnicity,Hispanic
2021,Missouri,Physical Activity,25.4,1455.0,Income,"$35,000 - $49,999"
2021,New Jersey,Fruits and Vegetables,25.2,3048.0,Gender,Male
2023,Illinois,Obesity / Weight Status,39.0,1050.0,Education,High school graduate
2023,Louisiana,Obesity / Weight Status,45.7,428.0,Education,Less than high school
2023,Texas,Physical Activity,24.1,4825.0,Gender,Male
2022,Hawaii,Obesity / Weight Status,35.3,2048.0,Education,Some college or technical school
2019,North Carolina,Physical Activity,19.1,1075.0,Age (years),65 or older
2019,Pennsylvania,Obesity / Weight Status,36.8,1289.0,Age (years),55 - 64
2022,Louisiana,Physical Activity,32.8,1291.0,Race/Ethnicity,Non-Hispanic Black
2021,Colorado,Fruits and Vegetables,34.3,69.0,Race/Ethnicity,American Indian/Alaska Native
2021,Alabama,Obesity / Weight Status,31.8,521.0,Age (years),35 - 44
2019,Florida,Obesity / Weight Status,36.7,1449.0,Education,Less than high school
2019,North Carolina,Fruits and Vegetables,50.7,51.0,Race/Ethnicity,Asian
2018,Nebraska,Obesity / Weight Status,33.3,2070.0,Income,"$35,000 - $49,999"
2021,Pennsylvania,Fruits and Vegetables,37.0,829.0,Income,"$50,000 - $74,999"
2023,Wisconsin,Physical Activity,23.9,464.0,Education,Less than high school
2022,Virginia,Obesity / Weight Status,32.4,622.0,Income,"$15,000 - $24,999"
2022,Oregon,Physical Activity,22.0,1019.0,Age (years),55 - 64
2019,South Dakota,Fruits and Vegetables,44.5,309.0,Age (years),18 - 24
2020,New Mexico,Obesity / Weight Status,43.0,795.0,Age (years),45 - 54
2023,New Jersey,Physical Activity,46.1,4716.0,Education,College graduate
2019,Alabama,Obesity / Weight Status,37.3,1882.0,Education,Some college or technical school
2020,Texas,Obesity / Weight Status,35.4,4760.0,Gender,Male
2021,Virginia,Fruits and Vegetables,26.5,277.0,Income,"Less than $15,000"
2021,Oklahoma,Obesity / Weight Status,36.2,1760.0,Education,College graduate
2018,Pennsylvania,Physical Activity,25.5,1233.0,Age (years),55 - 64
2020,Missouri,Obesity / Weight Status,39.1,1130.0,Income,"$15,000 - $24,999"
2022,Colorado,Physical Activity,28.0,1558.0,Race/Ethnicity,Hispanic
2019,Pennsylvania,Physical Activity,29.5,3097.0,Gender,Female
2023,Maryland,Physical Activity,44.4,448.0,Income,"Less than $15,000"
2021,Vermont,Physical Activity,16.4,1534.0,Education,Some college or technical school
2019,National,Physical Activity,35.3,373038.0,Total,Total
2021,New Hampshire,Physical Activity,18.1,510.0,Age (years),35 - 44
2020,Utah,Obesity / Weight Status,29.5,368.0,Education,Less than high school
2023,Virginia,Physical Activity,20.0,4963.0,Race/Ethnicity,Non-Hispanic White
2023,Colorado,Physical Activity,35.4,7500.0,Total,Total
2021,Guam,Obesity / Weight Status,33.5,1549.0,Total,Total
2022,Maine,Physical Activity,46.3,414.0,Income,"Less than $15,000"
2023,Missouri,Physical Activity,38.7,3254.0,Gender,Male
2023,Vermont,Physical Activity,22.6,1674.0,Age (years),55 - 64
2023,Virgin Islands,Physical Activity,49.1,96.0,Income,"Less than $15,000"
2018,Michigan,Physical Activity,29.6,839.0,Income,"$25,000 - $34,999"
2019,Nebraska,Obesity / Weight Status,37.0,4594.0,Education,College graduate
2019,Arizona,Obesity / Weight Status,26.8,185.0,Race/Ethnicity,Non-Hispanic Black
2021,Illinois,Physical Activity,22.7,464.0,Age (years),35 - 44
2018,Puerto Rico,Obesity / Weight Status,34.5,1245.0,Education,Some college or technical school
2018,Minnesota,Obesity / Weight Status,31.9,1858.0,Income,"$35,000 - $49,999"
2021,Oklahoma,Fruits and Vegetables,16.3,1318.0,Education,Some college or technical school
2021,National,Obesity / Weight Status,37.1,28887.0,Race/Ethnicity,Hispanic
2023,District of Columbia,Physical Activity,45.3,1617.0,Income,Data not reported
2021,Oregon,Fruits and Vegetables,13.2,2496.0,Gender,Female
2019,Louisiana,Physical Activity,29.5,457.0,Income,"$35,000 - $49,999"
2018,Guam,Obesity / Weight Status,30.8,824.0,Gender,Female
2022,National,Obesity / Weight Status,34.5,289595.0,Race/Ethnicity,Non-Hispanic White
2019,Wyoming,Obesity / Weight Status,25.9,198.0,Income,"Less than $15,000"
2022,Pennsylvania,Physical Activity,17.8,1900.0,Income,Data not reported
2018,Colorado,Physical Activity,26.3,1365.0,Race/Ethnicity,Hispanic
2022,New Hampshire,Obesity / Weight Status,30.7,5513.0,Race/Ethnicity,Non-Hispanic White
2023,Florida,Obesity / Weight Status,23.2,565.0,Age (years),18 - 24
2018,Ohio,Obesity / Weight Status,31.0,1067.0,Age (years),25 - 34
2023,Kansas,Physical Activity,29.1,1162.0,Income,"$75,000 or greater"
2021,Mississippi,Fruits and Vegetables,21.9,2345.0,Gender,Female
2019,Vermont,Obesity / Weight Status,37.7,213.0,Education,Less than high school
2022,Louisiana,Physical Activity,15.2,307.0,Age (years),18 - 24
2019,Ohio,Physical Activity,42.7,1906.0,Income,"$15,000 - $24,999"
2023,Hawaii,Physical Activity,51.6,796.0,Age (years),25 - 34
2023,Idaho,Physical Activity,23.4,440.0,Income,"$15,000 - $24,999"
2021,Colorado,Fruits and Vegetables,37.2,567.0,Education,Less than high school
2019,New York,Physical Activity,34.2,1182.0,Income,"$35,000 - $49,999"
2019,Oregon,Physical Activity,36.5,777.0,Income,"$50,000 - $74,999"
2019,District of Columbia,Physical Activity,21.5,327.0,Education,High school graduate
2023,Florida,Obesity / Weight Status,38.8,4601.0,Education,College graduate
2018,Idaho,Obesity / Weight Status,35.7,3434.0,Total,Total
2023,Oklahoma,Physical Activity,19.3,2487.0,Education,College graduate
2019,Tennessee,Obesity / Weight Status,29.3,922.0,Income,"$15,000 - $24,999"
2019,Puerto Rico,Physical Activity,54.6,1728.0,Age (years),65 or older
2022,Michigan,Physical Activity,20.1,4358.0,Income,Data not reported
2019,Minnesota,Obesity / Weight Status,32.5,1667.0,Age (years),25 - 34
2022,North Dakota,Physical Activity,31.8,1611.0,Age (years),65 or older
2021,National,Physical Activity,27.5,7234.0,Race/Ethnicity,American Indian/Alaska Native
2018,Indiana,Physical Activity,26.5,1195.0,Age (years),45 - 54
2023,Alaska,Physical Activity,48.7,494.0,Income,"$35,000 - $49,999"
2019,National,Fruits and Vegetables,27.1,25629.0,Race/Ethnicity,Non-Hispanic Black
2019,Delaware,Fruits and Vegetables,33.7,1328.0,Education,College graduate
2020,Nebraska,Obesity / Weight Status,33.7,1882.0,Income,"$35,000 - $49,999"
